"lon","lat","annual_mean_temp","annual_pp"
-79.32868835,49.75129575,0,0.818
-79.32868835,49.83463345,0,0.812
-79.32868835,49.91797115,0,0.809
-79.32868835,50.00130885,-0.2,0.809
-79.32868835,50.08464655,-0.3,0.808
-79.32868835,50.16798425,-0.4,0.807
-79.32868835,50.25132195,-0.4,0.8
-79.32868835,50.33465965,-0.4,0.792
-79.32868835,50.41799735,-0.2,0.78
-79.32868835,50.50133505,-0.1,0.768
-79.32868835,50.58467275,0,0.759
-79.32868835,50.66801045,0,0.752
-79.32868835,50.75134815,-0.1,0.751
-79.32868835,50.83468585,-0.2,0.75
-79.32868835,50.91802355,-0.2,0.746
-79.32868835,51.00136125,-0.2,0.739
-79.32868835,51.08469895,-0.2,0.734
-79.32868835,51.16803665,-0.3,0.73
-79.32868835,51.25137435,-0.3,0.726
-79.32868835,51.33471205,-0.4,0.724
-79.32868835,51.41804975,-0.5,0.722
-79.32868835,51.50138745,-0.6,0.719
-79.32868835,51.58472515,-0.7,0.717
-79.32868835,51.66806285,-0.7,0.711
-79.32868835,51.75140055,-0.8,0.708
-79.32868835,51.91807595,-1,0.701
-79.32868835,52.00141365,-1.1,0.7
-79.32868835,52.08475135,-1.1,0.694
-79.32868835,54.00151845,-2.8,0.622
-79.32868835,54.08485615,-2.9,0.619
-79.32868835,54.16819385,-3,0.618
-79.32868835,54.25153155,-3.1,0.617
-79.32868835,54.33486925,-3.2,0.615
-79.32868835,54.41820695,-3.3,0.613
-79.32868835,54.50154465,-3.3,0.611
-79.32868835,54.58488235,-3.4,0.61
-79.32868835,54.66822005,-3.6,0.61
-79.32868835,54.75155775,-3.6,0.607
-79.32868835,54.83489545,-3.6,0.601
-79.32868835,55.58493475,-4.2,0.572
-79.32868835,55.66827245,-4.3,0.57
-79.32868835,55.75161015,-4.4,0.566
-79.32868835,55.83494785,-4.4,0.562
-79.32868835,55.91828555,-4.5,0.557
-79.32868835,56.00162325,-4.7,0.557
-79.32868835,56.08496095,-4.7,0.554
-79.32868835,56.16829865,-4.8,0.55
-79.32868835,56.25163635,-4.9,0.546
-79.32868835,56.33497405,-5,0.544
