B M R T
0 0.002 0.596 0.402
0 0 0.2 0.8
0 0 0.27 0.73
0 0 0.824 0.176
0 0 0.824 0.176
0 0 0.824 0.176
0 0 0.372 0.628
0 0 0.372 0.628
0 0 0.824 0.176
0 0 0.05 0.95
0 0 0.07 0.93
0 0 0.41 0.59
0 0 0.182 0.818
0.072 0.026 0.1 0.802
0.35 0.006 0.644 0
0.02 0.218 0.11 0.652
0.02 0.218 0.11 0.652
0.02 0.218 0.11 0.652
0.164 0.316 0.314 0.206
0.104 0.044 0.84 0.012
0.13 0.61 0.1 0.16
0.164 0.316 0.314 0.206
0.164 0.316 0.314 0.206
0.004 0.382 0.208 0.406
0.004 0.382 0.208 0.406
0.04 0.396 0.23 0.334
0.024 0.57 0.24 0.166
0.046 0.14 0.07 0.744
0.074 0.31 0.342 0.274
0 0 0.14 0.86
0.008 0.042 0.92 0.03
0.04 0.396 0.23 0.334
0.024 0.57 0.24 0.166
0.04 0.396 0.23 0.334
0.024 0.57 0.24 0.166
0.008 0.042 0.92 0.03
0.256 0.396 0.194 0.154
0 0.086 0.616 0.298
0.01 0.034 0.862 0.094
0 0 0.102 0.898
0.018 0.098 0.728 0.156
0.424 0.158 0.246 0.172
0.308 0.148 0.386 0.158
0.012 0.912 0.028 0.048
0.068 0.586 0.27 0.076
0.092 0.49 0.15 0.268
0 0 0.326 0.674
0 0 0.462 0.538
0 0 0.072 0.928
0.07 0.522 0.232 0.176
0.312 0.006 0.666 0.016
0.312 0.006 0.666 0.016
0 0 0.2 0.8
0 0 0.054 0.946
0.046 0.014 0.94 0
0.046 0.014 0.94 0
0.312 0.006 0.666 0.016
0.008 0.456 0.306 0.23
0 0 0.348 0.652
0 0.024 0.16 0.816
0 0 0.348 0.652
0 0 0.348 0.652
0 0 0.348 0.652
0.082 0.014 0.458 0.446
0.006 0.224 0.63 0.14
0.082 0.014 0.458 0.446
0.006 0.224 0.63 0.14
0.052 0.006 0.524 0.418
0 0 0.83 0.17
0.008 0.456 0.306 0.23
0.312 0.13 0.556 0.002
0.014 0.008 0.88 0.098
0.082 0.014 0.458 0.446
0.006 0.224 0.63 0.14
0 0 0.922 0.078
0 0.542 0.158 0.3
0 0.542 0.158 0.3
0.054 0.086 0.752 0.108
0.172 0.714 0.052 0.062
0.046 0.012 0.94 0.002
0.06 0.14 0.788 0.012
0 0 0.416 0.584
0 0 0.186 0.814
0 0 0.5 0.5
0 0 0.5 0.5
0 0 0.5 0.5
0 0 0.354 0.646
0 0 0.736 0.264
0 0.002 0.418 0.58
0 0.184 0.22 0.596
0 0 0.156 0.844
0 0 0.156 0.844
0 0 0.736 0.264
0 0.002 0.418 0.58
0 0 0.156 0.844
0.014 0 0.932 0.054
0.002 0 0.372 0.626
0.014 0 0.932 0.054
0.014 0 0.932 0.054
0 0.184 0.22 0.596
0 0.184 0.22 0.596
0.014 0 0.932 0.054
0.014 0 0.932 0.054
0 0 0.432 0.568
0 0 0.134 0.866
0 0 0.786 0.214
0.002 0 0.372 0.626
0 0 0.288 0.712
0 0 0.338 0.662
0 0 0.288 0.712
0 0 0.338 0.662
0 0 0.288 0.712
0 0 0.338 0.662
0 0 0.288 0.712
0 0 0.338 0.662
0 0 0.288 0.712
0 0 0.338 0.662
0 0 0.014 0.986
0.024 0.022 0.448 0.506
0.004 0.064 0.588 0.344
0.024 0.022 0.448 0.506
0.004 0.064 0.588 0.344
0.024 0.022 0.448 0.506
0.004 0.064 0.588 0.344
0.348 0.536 0.096 0.02
0.22 0.232 0.452 0.096
0.044 0.044 0.244 0.668
0.02 0.114 0.81 0.056
0.044 0.044 0.244 0.668
0.02 0.114 0.81 0.056
0.044 0.044 0.244 0.668
0.02 0.114 0.81 0.056
0.044 0.044 0.244 0.668
0.02 0.114 0.81 0.056
0.348 0.536 0.096 0.02
0.22 0.232 0.452 0.096
0.348 0.536 0.096 0.02
0.22 0.232 0.452 0.096
0.204 0.284 0.322 0.19
0.142 0.078 0.526 0.254
0.204 0.284 0.322 0.19
0.142 0.078 0.526 0.254
0.204 0.284 0.322 0.19
0.142 0.078 0.526 0.254
0 0 0.068 0.932
0 0 0.068 0.932
0 0 0.068 0.932
0.002 0.672 0.132 0.194
0.012 0.092 0.32 0.576
0 0 0.068 0.932
0 0 0.362 0.638
0 0 0.124 0.876
0 0 0.64 0.36
0.038 0 0.446 0.516
0 0 0.026 0.974
0 0 0.026 0.974
0 0 0.162 0.838
0 0 0.124 0.876
0.022 0.58 0.108 0.29
0.272 0.258 0.444 0.026
0 0 0.042 0.958
0 0 0.632 0.368
0 0 0.442 0.558
0.022 0.58 0.108 0.29
0.272 0.258 0.444 0.026
0 0 0.888 0.112
0 0.002 0.844 0.154
0 0 0.446 0.554
0.006 0.006 0.37 0.618
0.132 0.364 0.426 0.078
0 0 0.56 0.44
0 0 0.518 0.482
0 0 0.426 0.574
0 0 0.846 0.154
0.132 0.364 0.426 0.078
0 0 0.846 0.154
0 0.358 0.262 0.38
0 0.342 0.146 0.512
0 0 0.846 0.154
0 0 0.846 0.154
0.036 0.368 0.53 0.066
0.098 0.016 0.792 0.094
0 0 0.256 0.744
0.1 0.472 0.212 0.216
0.102 0.488 0.092 0.318
0 0 0.456 0.544
0.082 0.148 0.3 0.47
0.132 0.364 0.426 0.078
0.074 0.86 0.04 0.026
0.1 0.77 0.116 0.014
0.004 0.008 0.662 0.326
0.004 0.008 0.662 0.326
0.004 0.008 0.662 0.326
0 0 0.232 0.768
0 0 0.116 0.884
0 0 0.116 0.884
0 0 0.456 0.544
0 0 0.092 0.908
0 0 0.092 0.908
0 0 0.304 0.696
0 0 0.332 0.668
0 0 0.15 0.85
0 0 0.768 0.232
0.012 0 0.53 0.458
0 0 0.568 0.432
0.04 0.004 0.36 0.596
0.04 0.004 0.36 0.596
0.16 0.48 0.21 0.15
0.394 0.11 0.196 0.3
0.154 0.634 0.186 0.026
0.634 0.204 0.066 0.096
0.596 0.122 0.276 0.006
0.038 0.378 0.098 0.486
0.14 0.276 0.146 0.438
0.236 0.56 0.094 0.11
0.064 0.212 0.68 0.044
0.016 0.148 0.26 0.576
0.016 0.148 0.26 0.576
0.016 0.148 0.26 0.576
0.016 0.148 0.26 0.576
0.024 0.09 0.194 0.692
0.278 0.504 0.212 0.006
0.162 0.184 0.638 0.016
0.264 0.536 0.12 0.08
0 0 0.18 0.82
0 0 0.71 0.29
0.326 0.354 0.128 0.192
0.528 0.062 0.402 0.008
0.466 0.04 0.368 0.126
0.302 0.612 0.084 0.002
0.176 0.322 0.39 0.112
0 0 0.736 0.264
0.012 0.294 0.664 0.03
0.064 0.68 0.014 0.242
0.172 0.468 0.032 0.328
0.256 0.64 0.088 0.016
0.066 0.484 0.392 0.058
0.078 0.536 0.198 0.188
0.256 0.444 0.06 0.24
0.112 0.192 0.558 0.138
0.152 0.322 0.322 0.204
0.406 0.144 0.316 0.134
0 0 0.276 0.724
0 0 0.094 0.906
0 0 0.502 0.498
0 0 0.59 0.41
0.558 0.218 0.108 0.116
0.536 0.162 0.142 0.16
0.558 0.218 0.108 0.116
