B M R T
0.536 0.162 0.142 0.16
0 0 0.558 0.442
0.558 0.218 0.108 0.116
0.536 0.162 0.142 0.16
0 0 0.04 0.96
0 0 0.04 0.96
0 0 0.04 0.96
0.02 0.052 0.838 0.09
0 0 0.446 0.554
0.02 0.052 0.838 0.09
0.04 0.132 0.376 0.452
0.16 0.084 0.614 0.142
0.02 0.052 0.838 0.09
0.04 0.132 0.376 0.452
0.16 0.084 0.614 0.142
0.04 0.132 0.376 0.452
0.16 0.084 0.614 0.142
0 0.03 0.898 0.072
0.004 0.006 0.77 0.22
0.008 0.124 0.616 0.252
0.022 0.768 0.03 0.18
0 0 0.426 0.574
0 0 0.662 0.338
0 0 0.426 0.574
0 0 0.662 0.338
0 0 0.398 0.602
0 0 0.236 0.764
0 0 0.672 0.328
0 0 0.25 0.75
0 0 0.426 0.574
0 0 0.662 0.338
0 0 0.4 0.6
0 0 0.4 0.6
0.33 0.118 0.516 0.036
0.012 0.316 0.334 0.338
0.1 0.048 0.772 0.08
0.012 0.316 0.334 0.338
0.1 0.048 0.772 0.08
0.012 0.316 0.334 0.338
0.1 0.048 0.772 0.08
0.012 0.316 0.334 0.338
0.1 0.048 0.772 0.08
0 0 0.396 0.604
0 0 0.278 0.722
0 0 0.258 0.742
0.234 0.05 0.664 0.052
0.01 0.054 0.882 0.054
0 0 0.164 0.836
0 0 0.734 0.266
0 0 0.164 0.836
0 0 0.734 0.266
0 0 0.04 0.96
0 0 0.116 0.884
0 0 0.38 0.62
0 0 0.818 0.182
0 0 0.818 0.182
0 0 0.536 0.464
0 0 0.732 0.268
0.01 0.108 0.706 0.176
0.07 0.118 0.786 0.026
0 0 0.04 0.96
0 0 0.116 0.884
0 0 0.38 0.62
0.1 0.094 0.254 0.552
0.014 0 0.802 0.184
0.006 0.124 0.574 0.296
0.014 0 0.802 0.184
0.006 0.124 0.574 0.296
0 0.06 0.206 0.734
0.028 0.026 0.36 0.586
0 0.06 0.206 0.734
0.028 0.026 0.36 0.586
0 0.06 0.206 0.734
0.028 0.026 0.36 0.586
0.532 0.1 0.252 0.116
0.008 0.702 0.202 0.088
0.1 0.094 0.254 0.552
0.004 0.004 0.174 0.818
0 0.056 0.366 0.578
0.004 0.004 0.174 0.818
0 0.056 0.366 0.578
0 0 0.262 0.738
0 0 0.262 0.738
0 0 0.262 0.738
0 0 0.466 0.534
0 0 0.466 0.534
0.16 0.562 0.15 0.128
0.072 0.322 0.022 0.584
0.1 0.3 0.374 0.226
0.084 0.79 0.122 0.004
0 0 0.63 0.37
0 0 0.5 0.5
0.002 0.7 0.104 0.194
0.1 0.3 0.374 0.226
0.084 0.79 0.122 0.004
0.03 0.202 0.386 0.382
0.012 0 0.764 0.224
0.028 0.136 0.784 0.052
0.012 0 0.764 0.224
0.028 0.136 0.784 0.052
0.532 0.1 0.252 0.116
0.008 0.702 0.202 0.088
0 0 0.018 0.982
0 0 0.066 0.934
0.06 0.18 0.684 0.076
0.058 0.034 0.636 0.272
0.06 0.18 0.684 0.076
0.058 0.034 0.636 0.272
0.06 0.18 0.684 0.076
0.058 0.034 0.636 0.272
0.014 0.056 0.69 0.24
0.014 0.056 0.69 0.24
0.014 0.056 0.69 0.24
0 0 0.736 0.264
0.012 0 0.764 0.224
0.028 0.136 0.784 0.052
0 0 0.472 0.528
0 0 0.242 0.758
0.024 0.128 0.642 0.206
0.002 0.01 0.85 0.138
0.122 0.382 0.168 0.328
0.044 0.036 0.434 0.486
0.002 0 0.514 0.484
0.088 0.47 0.42 0.022
0 0 0.486 0.514
0.018 0.006 0.868 0.108
0.04 0.002 0.826 0.132
0.018 0.006 0.868 0.108
0.04 0.002 0.826 0.132
0.018 0.006 0.868 0.108
0.04 0.002 0.826 0.132
0 0 0.486 0.514
0.042 0 0.864 0.094
0.026 0 0.974 0
0.042 0 0.864 0.094
0.026 0 0.974 0
0.096 0.242 0.448 0.214
0.096 0.242 0.448 0.214
0 0 0.678 0.322
0.006 0 0.904 0.09
0 0 0.668 0.332
0 0 0.032 0.968
0 0.11 0.232 0.658
0.042 0 0.864 0.094
0.026 0 0.974 0
0 0 0.634 0.366
0 0 0.634 0.366
0 0 0.634 0.366
0 0 0.634 0.366
0.002 0.008 0.814 0.176
0.354 0.224 0.418 0.004
0.21 0.734 0.054 0.002
0.442 0.424 0.1 0.034
0.168 0.582 0.222 0.028
0.396 0.374 0.026 0.204
0.04 0.512 0.29 0.158
0.108 0.134 0.724 0.034
0.004 0.144 0.566 0.286
0.004 0.144 0.566 0.286
0.118 0.828 0.034 0.02
0.22 0.56 0.02 0.2
0 0 0.74 0.26
0 0 0.556 0.444
0.032 0 0.968 0
0.632 0.002 0.362 0.004
0.106 0.018 0.876 0
0.34 0.532 0.106 0.022
0.152 0.66 0.014 0.174
0.06 0.58 0.296 0.064
0.49 0.132 0.334 0.044
0.314 0.33 0.132 0.224
0.352 0.17 0.478 0
0.216 0.118 0.258 0.408
0.188 0.008 0.636 0.168
0.12 0.098 0.734 0.048
0.006 0.024 0.512 0.458
0.12 0.098 0.734 0.048
0.006 0.024 0.512 0.458
0.11 0.48 0.236 0.174
0 0 0.314 0.686
0 0 0.46 0.54
0.188 0.008 0.636 0.168
0.006 0.326 0.55 0.118
0.12 0.098 0.734 0.048
0.006 0.024 0.512 0.458
0.188 0.008 0.636 0.168
0 0 0.186 0.814
0.188 0.008 0.636 0.168
0.08 0.022 0.678 0.22
0 0 0.444 0.556
0 0 0.484 0.516
0 0 0.444 0.556
0 0 0.484 0.516
0 0.234 0.58 0.186
0 0 0.444 0.556
0 0 0.484 0.516
0 0.148 0.28 0.572
0 0 0.264 0.736
0.298 0.376 0.072 0.254
0 0 0.264 0.736
0 0 0.298 0.702
0.178 0.056 0.76 0.006
0.102 0.098 0.54 0.26
0.11 0.48 0.236 0.174
0 0 0.344 0.656
0.05 0.094 0.314 0.542
0.154 0.01 0.55 0.286
0 0 0.284 0.716
0 0 0.48 0.52
0 0 0.284 0.716
0.09 0.028 0.684 0.198
0.156 0.04 0.538 0.266
0.09 0.028 0.684 0.198
0 0 0.444 0.556
0 0 0.164 0.836
0 0 0.444 0.556
0 0 0.164 0.836
0 0 0.444 0.556
0 0 0.164 0.836
0 0 0.258 0.742
0 0 0.46 0.54
0.168 0.04 0.712 0.08
0.168 0.04 0.712 0.08
0.168 0.04 0.712 0.08
0 0 0.322 0.678
0.168 0.04 0.712 0.08
0.01 0.038 0.05 0.902
0.752 0.016 0.232 0
0.752 0.016 0.232 0
0.752 0.016 0.232 0
0 0 0.308 0.692
0.268 0.56 0.114 0.058
0 0 0.282 0.718
0 0 0.088 0.912
0 0 0.69 0.31
0 0 0.77 0.23
0 0 0.77 0.23
0 0 0.69 0.31
0 0 0.77 0.23
0 0 0.406 0.594
0 0 0.312 0.688
0.032 0.082 0.29 0.596
0 0 0.36 0.64
0 0 0.772 0.228
0 0 0.388 0.612
0 0 0.388 0.612
0.006 0.014 0.888 0.092
0 0.352 0.528 0.12
0.294 0.22 0.298 0.188
0.294 0.22 0.298 0.188
0.294 0.22 0.298 0.188
0 0.004 0.232 0.764
0 0 0.41 0.59
0 0 0.386 0.614
0 0 0.314 0.686
0 0.352 0.528 0.12
0 0.352 0.528 0.12
0.028 0 0.896 0.076
0.01 0.152 0.706 0.132
0.304 0.042 0.646 0.008
0.02 0.008 0.87 0.102
0.372 0.032 0.436 0.16
0.028 0 0.896 0.076
0.066 0.162 0.704 0.068
0 0 0.138 0.862
0.066 0.162 0.704 0.068
0.066 0.162 0.704 0.068
0.024 0.052 0.836 0.088
0.014 0.372 0.23 0.384
0.066 0.162 0.704 0.068
0 0 0.28 0.72
0.024 0.052 0.836 0.088
0.014 0.372 0.23 0.384
0.024 0.052 0.836 0.088
0.014 0.372 0.23 0.384
0.376 0.212 0.038 0.374
0.034 0.804 0.054 0.108
0.478 0.072 0.044 0.406
0.122 0.378 0.238 0.262
0.34 0.436 0.156 0.068
0.058 0.546 0.2 0.196
0.432 0 0.568 0
0.184 0.002 0.742 0.072
0.432 0 0.568 0
0.184 0.002 0.742 0.072
0.432 0 0.568 0
0.184 0.002 0.742 0.072
0.432 0 0.568 0
0.184 0.002 0.742 0.072
0 0 0.34 0.66
0 0 0.286 0.714
0 0 0.34 0.66
0 0 0.286 0.714
0.08 0.442 0.014 0.464
0.264 0.19 0.318 0.228
0.312 0.36 0.208 0.12
0.056 0.056 0.6 0.288
0.2 0.1 0.638 0.062
0.44 0.274 0.266 0.02
0.664 0.134 0.118 0.084
0.3 0.234 0.424 0.042
0.332 0.562 0.07 0.036
0.392 0.33 0.274 0.004
0.098 0.716 0.078 0.108
0.18 0.208 0.524 0.088
0.042 0.292 0.182 0.484
0.242 0.342 0.132 0.284
0.58 0.148 0.216 0.056
0.012 0.692 0.218 0.078
0.122 0.432 0.182 0.264
0.012 0.132 0.408 0.448
0.012 0.006 0.292 0.69
0.224 0.516 0.154 0.106
0.014 0.102 0.342 0.542
0.104 0.526 0.222 0.148
0.072 0.066 0.594 0.268
0.044 0.002 0.62 0.334
0.198 0.088 0.712 0.002
0.568 0 0.432 0
0.146 0.2 0.17 0.484
0.146 0.2 0.17 0.484
0.154 0.27 0.464 0.112
0.076 0.012 0.752 0.16
0.03 0.386 0.51 0.074
0.03 0.386 0.51 0.074
0.146 0.2 0.17 0.484
0 0 0.226 0.774
0 0 0.226 0.774
0.04 0.174 0.006 0.78
0 0 0.226 0.774
0.03 0.386 0.51 0.074
0 0 0.738 0.262
0 0.008 0.264 0.728
0 0 0.11 0.89
0.04 0.174 0.458 0.328
0 0.008 0.264 0.728
0.274 0.37 0.018 0.338
0.148 0.06 0.468 0.324
0.264 0.502 0.076 0.158
0.636 0.086 0.254 0.024
0.188 0.654 0.158 0
0 0 0.27 0.73
0.01 0.352 0.6 0.038
0.396 0.184 0.342 0.078
0.258 0.274 0.398 0.07
0.264 0.2 0.338 0.198
0.252 0.24 0.056 0.452
0.03 0.714 0.086 0.17
0.01 0.358 0.332 0.3
0.216 0.23 0.106 0.448
0.12 0.528 0.13 0.222
0.186 0.002 0.812 0
0.55 0 0.45 0
0.464 0 0.536 0
0.618 0 0.382 0
0.046 0.002 0.95 0.002
0.128 0.338 0.146 0.388
0.062 0.322 0.516 0.1
0.116 0.22 0.534 0.13
0.046 0.658 0.254 0.042
0.362 0.162 0.336 0.14
0.016 0.084 0.888 0.012
0.008 0.612 0.158 0.222
0.39 0.148 0.082 0.38
0.66 0 0.34 0
0.236 0 0.764 0
0.29 0 0.708 0.002
0.128 0.338 0.146 0.388
0.128 0.338 0.146 0.388
0 0 0.536 0.464
0 0 0.536 0.464
0 0.024 0.304 0.672
0 0 0.496 0.504
0.016 0.012 0.378 0.594
0.012 0.132 0.408 0.448
0.012 0.006 0.292 0.69
0 0 0.71 0.29
0.114 0.042 0.67 0.174
0.382 0.03 0.486 0.102
0.204 0.26 0.496 0.04
0.016 0.012 0.378 0.594
0 0 0.516 0.484
0 0 0.334 0.666
0 0 0.116 0.884
0.114 0.042 0.67 0.174
0.14 0 0.452 0.408
0.014 0.124 0.686 0.176
0.072 0.728 0.072 0.128
0.072 0.728 0.072 0.128
0.17 0.074 0.242 0.514
0.17 0.074 0.242 0.514
0.456 0.072 0.122 0.35
0.456 0.072 0.122 0.35
0.072 0.728 0.072 0.128
0.072 0.728 0.072 0.128
0 0 0.174 0.826
0.18 0.224 0.306 0.29
0 0 0.256 0.744
0.17 0.074 0.242 0.514
0.17 0.074 0.242 0.514
0.002 0.79 0.1 0.108
0 0 0.182 0.818
0 0 0.11 0.89
0.002 0.79 0.1 0.108
0.044 0.082 0.732 0.142
0.302 0.116 0.442 0.14
0 0 0.09 0.91
0.122 0.292 0.074 0.512
0.002 0.366 0.128 0.504
0.21 0.032 0.708 0.05
0 0 0.174 0.826
0.126 0.002 0.652 0.22
0 0 0.256 0.744
0.122 0.292 0.074 0.512
0 0 0.512 0.488
0 0 0.68 0.32
0 0 0.15 0.85
0.09 0.364 0.144 0.402
0.004 0.08 0.628 0.288
0 0 0.256 0.744
0.12 0.082 0.698 0.1
0.058 0.04 0.852 0.05
0 0 0.58 0.42
0 0 0.724 0.276
0 0 0.326 0.674
0.054 0.01 0.68 0.256
0.076 0.106 0.47 0.348
0.134 0.146 0.198 0.522
0 0 0.406 0.594
0 0 0.406 0.594
0.032 0.124 0.502 0.342
0 0.184 0.628 0.188
0.15 0.014 0.612 0.224
0.006 0.006 0.488 0.5
0 0 0.182 0.818
0 0 0.508 0.492
0.296 0.504 0.118 0.082
0.296 0.504 0.118 0.082
0.004 0.03 0.94 0.026
0.14 0.008 0.724 0.128
0.296 0.504 0.118 0.082
0.118 0.27 0.108 0.504
0.118 0.27 0.108 0.504
0.118 0.27 0.108 0.504
0.118 0.27 0.108 0.504
0 0 0.466 0.534
0.056 0.002 0.938 0.004
0.326 0 0.674 0
0.278 0 0.722 0
0.056 0.64 0.138 0.166
0 0 0.912 0.088
0.07 0.054 0.246 0.63
0.03 0.06 0.438 0.472
0.208 0.128 0.598 0.066
0.052 0.032 0.692 0.224
0.208 0.128 0.598 0.066
0.052 0.032 0.692 0.224
0.208 0.128 0.598 0.066
0.078 0.24 0.388 0.294
0.01 0.008 0.662 0.32
0.13 0.006 0.552 0.312
0.14 0.048 0.486 0.326
0.14 0.048 0.486 0.326
0.002 0.032 0.928 0.038
0.168 0.294 0.478 0.06
0.356 0.28 0.234 0.13
0.172 0.562 0.192 0.074
0.724 0.204 0.04 0.032
0.172 0.562 0.192 0.074
0.724 0.204 0.04 0.032
0.172 0.562 0.192 0.074
0.724 0.204 0.04 0.032
0.004 0.014 0.75 0.232
0.168 0.294 0.478 0.06
0.356 0.28 0.234 0.13
0.168 0.294 0.478 0.06
0.356 0.28 0.234 0.13
0.168 0.294 0.478 0.06
0.356 0.28 0.234 0.13
0.138 0.412 0.374 0.076
0.026 0.578 0.05 0.346
0.138 0.412 0.374 0.076
0.138 0.412 0.374 0.076
0.026 0.578 0.05 0.346
0.034 0.306 0.15 0.51
0.026 0.578 0.05 0.346
0.026 0.578 0.05 0.346
0.008 0 0.522 0.47
0.006 0.738 0.048 0.208
0.04 0.174 0.458 0.328
0 0.002 0.668 0.33
0 0.002 0.668 0.33
0 0.002 0.668 0.33
0 0 0.496 0.504
0.532 0.25 0.214 0.004
0.042 0.5 0.458 0
0.168 0.456 0.352 0.024
0.302 0.4 0.19 0.108
0.342 0.42 0.23 0.008
0.016 0.134 0.786 0.064
0 0.002 0.668 0.33
0 0 0.786 0.214
0.08 0.318 0.346 0.256
0.32 0.418 0.18 0.082
0.078 0.064 0.096 0.762
0 0.592 0.028 0.38
0.49 0 0.51 0
0.472 0.408 0.052 0.068
0.5 0.266 0.18 0.054
0.37 0.254 0.374 0.002
0.434 0.084 0.318 0.164
0 0 0.2 0.8
0.006 0.4 0.336 0.258
0.054 0.558 0.072 0.316
0.018 0.048 0.054 0.88
0.486 0 0.514 0
0.152 0 0.848 0
0.164 0 0.836 0
0 0.436 0.074 0.49
0.002 0.028 0.55 0.42
0 0.436 0.074 0.49
0.002 0.028 0.55 0.42
0 0.436 0.074 0.49
0.002 0.028 0.55 0.42
0.01 0.57 0.28 0.14
0.112 0.188 0.36 0.34
0 0 0.332 0.668
0 0 0.586 0.414
0 0.012 0.296 0.692
0 0.012 0.296 0.692
0 0.01 0.25 0.74
0 0.002 0.046 0.952
0 0.096 0.348 0.556
0 0 0.278 0.722
0 0.242 0.074 0.684
0.166 0.036 0.736 0.062
0 0 0.136 0.864
0.002 0.002 0.19 0.806
0 0.014 0.412 0.574
0 0 0.084 0.916
0.148 0.388 0.088 0.376
0.4 0.144 0.426 0.03
0 0.242 0.074 0.684
0.166 0.036 0.736 0.062
0.314 0.372 0.222 0.092
0.066 0.126 0.524 0.284
0.314 0.372 0.222 0.092
0.066 0.126 0.524 0.284
0.314 0.372 0.222 0.092
0.066 0.126 0.524 0.284
0 0.014 0.448 0.538
0.148 0.388 0.088 0.376
0.4 0.144 0.426 0.03
0.148 0.388 0.088 0.376
0.4 0.144 0.426 0.03
0 0 0.35 0.65
0 0 0.232 0.768
0.186 0.032 0.28 0.502
0.03 0 0.37 0.6
0.002 0.064 0.21 0.724
0 0.02 0.882 0.098
0.002 0.064 0.21 0.724
0 0.02 0.882 0.098
0.002 0.064 0.21 0.724
0 0.02 0.882 0.098
0.002 0.064 0.21 0.724
0 0.02 0.882 0.098
0 0 0.394 0.606
0 0 0.394 0.606
0 0 0.074 0.926
0 0 0.114 0.886
0.072 0.026 0.85 0.052
0 0 0.518 0.482
0.034 0.03 0.622 0.314
0.062 0 0.418 0.52
0.072 0.026 0.85 0.052
0.034 0.032 0.784 0.15
0.01 0.004 0.272 0.714
0 0 0.388 0.612
0.108 0.074 0.674 0.144
0.022 0.012 0.886 0.08
0.036 0.024 0.578 0.362
0.022 0.012 0.886 0.08
0.036 0.024 0.578 0.362
0 0 0.336 0.664
0.056 0.64 0.138 0.166
0.072 0.026 0.85 0.052
0.034 0.032 0.784 0.15
0.108 0.074 0.674 0.144
0.108 0.074 0.674 0.144
0 0 0.768 0.232
0 0 0.2 0.8
0 0 0.756 0.244
0.046 0.724 0.102 0.128
0.334 0.366 0.17 0.13
0.046 0.058 0.534 0.362
0.182 0.086 0.572 0.16
0.046 0.058 0.534 0.362
0.182 0.086 0.572 0.16
0.046 0.058 0.534 0.362
0.182 0.086 0.572 0.16
0 0 0.244 0.756
0 0 0.408 0.592
0 0 0.376 0.624
0.01 0.19 0.502 0.298
0.272 0.094 0.064 0.57
0.84 0 0.158 0.002
0.484 0.004 0.512 0
0.192 0.114 0.41 0.284
0 0 0.434 0.566
0.192 0.114 0.41 0.284
0.26 0.266 0.464 0.01
0.078 0.36 0.256 0.306
0.192 0.114 0.41 0.284
0 0.014 0.95 0.036
0.052 0.062 0.452 0.434
0.31 0.118 0.562 0.01
0.648 0.172 0.174 0.006
0 0 0.39 0.61
0.042 0.572 0.284 0.102
0.468 0.118 0.39 0.024
0 0 0.442 0.558
0 0 0.164 0.836
0 0 0.286 0.714
0 0 0.168 0.832
0 0 0.286 0.714
0 0 0.168 0.832
0.228 0.116 0.22 0.436
0 0 0.848 0.152
0 0 0.16 0.84
0.03 0.424 0.158 0.388
0.002 0.194 0.194 0.61
0.006 0.164 0.342 0.488
0.002 0.194 0.194 0.61
0.006 0.164 0.342 0.488
0.002 0.194 0.194 0.61
0.006 0.164 0.342 0.488
0.002 0.194 0.194 0.61
0.006 0.164 0.342 0.488
0 0 0.122 0.878
0 0 0.418 0.582
0 0 0.262 0.738
0 0 0.262 0.738
0 0 0.602 0.398
0 0 0.628 0.372
0.76 0 0.176 0.064
0.374 0 0.502 0.124
0.106 0.034 0.83 0.03
0.108 0.282 0.56 0.05
0.266 0.494 0.24 0
0.054 0.228 0.428 0.29
0.266 0.494 0.24 0
0.266 0.494 0.24 0
0.514 0 0.486 0
0.578 0 0.422 0
0.234 0.204 0.554 0.008
0.098 0.554 0.312 0.036
0.184 0.446 0.342 0.028
0.11 0.396 0.464 0.03
0.11 0.396 0.464 0.03
0.018 0.398 0.556 0.028
0.378 0.392 0.186 0.044
0.588 0.242 0.142 0.028
0.208 0.488 0.202 0.102
0.294 0.074 0.632 0
0.218 0.196 0.202 0.384
0.316 0.292 0.048 0.344
0.064 0.602 0.082 0.252
0.098 0.342 0.528 0.032
0.328 0.002 0.67 0
0.382 0.004 0.614 0
0.29 0 0.71 0
0.704 0.028 0.266 0.002
0.186 0 0.814 0
0.504 0 0.496 0
0.008 0.038 0.738 0.216
0.18 0.022 0.438 0.36
0.374 0.18 0.208 0.238
0.146 0.056 0.576 0.222
0 0 0.876 0.124
0.054 0.07 0.628 0.248
0.55 0.092 0.234 0.124
0.054 0.07 0.628 0.248
0.55 0.092 0.234 0.124
0.022 0.03 0.862 0.086
0.128 0.022 0.756 0.094
0 0 0.14 0.86
0 0.054 0.204 0.742
0 0.078 0.458 0.464
0.202 0.098 0.584 0.116
0 0.054 0.204 0.742
0.486 0.038 0.47 0.006
0.214 0.04 0.746 0
0.768 0.106 0.11 0.016
0.29 0.082 0.536 0.092
0.106 0.346 0.36 0.188
0.052 0.644 0.18 0.124
0.744 0 0.256 0
0.236 0 0.764 0
0.038 0.832 0.05 0.08
0.04 0.568 0.286 0.106
0.07 0.782 0.042 0.106
0.308 0.286 0.282 0.124
0.098 0.152 0.654 0.096
0.106 0.504 0.178 0.212
0.096 0.392 0.336 0.176
0.06 0.042 0.832 0.066
0.244 0.16 0.596 0
0.442 0.07 0.452 0.036
0.43 0.184 0.254 0.132
0.058 0.682 0.25 0.01
0.366 0.32 0.298 0.016
0.202 0.374 0.214 0.21
0.02 0.668 0.222 0.09
0.064 0.166 0.004 0.766
0 0 0.578 0.422
0.624 0.132 0.208 0.036
0.51 0.14 0.244 0.106
0.272 0.278 0.336 0.114
0.268 0.114 0.618 0
0.306 0.236 0.458 0
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.754 0.246
0.024 0.096 0.306 0.574
0 0 0.394 0.606
0.038 0.014 0.184 0.764
0.18 0.068 0.558 0.194
0.036 0.024 0.788 0.152
0.032 0.102 0.822 0.044
0.032 0.102 0.822 0.044
0.032 0.102 0.822 0.044
0.392 0.016 0.562 0.03
0.392 0.016 0.562 0.03
0.392 0.016 0.562 0.03
0.392 0.016 0.562 0.03
0.138 0.258 0.39 0.214
0.138 0.258 0.39 0.214
0.138 0.258 0.39 0.214
0.138 0.258 0.39 0.214
0 0 0.286 0.714
0.572 0.022 0.398 0.008
0.218 0.034 0.746 0.002
0.218 0.034 0.746 0.002
0.084 0.076 0.738 0.102
0.27 0.036 0.392 0.302
0 0 0.438 0.562
0 0 0.466 0.534
0 0 0.39 0.61
0 0 0.274 0.726
0 0 0.804 0.196
0 0 0.804 0.196
0.004 0.458 0.524 0.014
0.004 0.06 0.702 0.234
0 0 0.628 0.372
0.056 0 0.852 0.092
0 0 0.55 0.45
0 0 0.316 0.684
0 0 0.65 0.35
0.04 0 0.194 0.766
0.04 0 0.194 0.766
0 0 0.804 0.196
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0.022 0.012 0.802 0.164
0.006 0.018 0.752 0.224
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0 0 0.518 0.482
0 0 0.126 0.874
0 0 0.744 0.256
0 0 0.63 0.37
0 0 0.37 0.63
0 0 0.744 0.256
0 0 0.63 0.37
0 0 0.718 0.282
0 0 0.78 0.22
0.128 0.172 0.5 0.2
0 0 0.55 0.45
0 0 0.316 0.684
0 0 0.288 0.712
0 0 0.712 0.288
0 0 0.55 0.45
0 0 0.316 0.684
0 0.086 0.086 0.828
0 0.004 0.3 0.696
0.006 0.344 0.02 0.63
0 0 0.026 0.974
0.022 0.65 0.256 0.072
0.128 0.136 0.516 0.22
0.052 0.876 0.032 0.04
0 0 0.18 0.82
0 0 0.18 0.82
0 0 0.18 0.82
0.1 0.054 0.722 0.124
0.128 0.136 0.516 0.22
0.022 0.65 0.256 0.072
0.022 0.65 0.256 0.072
0.04 0.012 0.702 0.246
0 0 0.718 0.282
0 0 0.78 0.22
0.108 0.05 0.732 0.11
0.03 0.152 0.604 0.214
0.04 0.102 0.572 0.286
0.026 0.286 0.35 0.338
0 0.1 0.762 0.138
0.186 0 0.754 0.06
0.186 0 0.754 0.06
0.012 0.176 0.674 0.138
0.414 0.4 0.166 0.02
0.212 0.576 0.18 0.032
0.186 0 0.754 0.06
0.186 0 0.754 0.06
0.186 0 0.754 0.06
0.186 0 0.754 0.06
0 0 0.608 0.392
0 0.1 0.762 0.138
0 0 0.198 0.802
0 0.004 0.172 0.824
0 0.44 0.184 0.376
0 0.44 0.184 0.376
0 0 0.524 0.476
0 0 0.476 0.524
0 0.004 0.172 0.824
0.016 0.048 0.878 0.058
0.014 0.018 0.638 0.33
0.024 0.008 0.052 0.916
0.024 0.008 0.052 0.916
0.334 0.376 0.142 0.148
0.354 0.124 0.142 0.38
0.118 0.016 0.284 0.582
0.118 0.016 0.284 0.582
0.118 0.016 0.284 0.582
0.118 0.016 0.284 0.582
0 0 0.396 0.604
0 0 0.648 0.352
0 0.042 0.952 0.006
0 0.132 0.302 0.566
0 0.042 0.952 0.006
0 0.132 0.302 0.566
0 0.042 0.952 0.006
0 0.132 0.302 0.566
0 0 0.342 0.658
0.004 0.002 0.31 0.684
0 0 0.882 0.118
0.004 0.018 0.804 0.174
0 0.162 0.438 0.4
0 0 0.722 0.278
0 0 0.404 0.596
0 0 0.722 0.278
0 0 0.404 0.596
0 0 0.722 0.278
0 0 0.404 0.596
0.096 0.066 0.808 0.03
0.002 0 0.586 0.412
0.004 0 0.742 0.254
0.494 0 0.506 0
0.558 0 0.442 0
0.508 0 0.492 0
0.002 0 0.586 0.412
0.004 0 0.742 0.254
0.002 0.012 0.418 0.568
0.02 0.006 0.786 0.188
0.076 0.116 0.734 0.074
0 0 0.19 0.81
0 0 0.19 0.81
0 0 0.196 0.804
0 0 0.196 0.804
0.268 0.154 0.56 0.018
0.02 0.006 0.97 0.004
0.012 0.006 0.982 0
0.012 0.006 0.982 0
0 0 0.19 0.81
0.268 0.154 0.56 0.018
0.02 0.006 0.97 0.004
0.194 0.212 0.584 0.01
0.15 0.464 0.114 0.272
0.032 0.178 0.748 0.042
0.01 0.002 0.832 0.156
0.098 0.058 0.762 0.082
0 0 0.138 0.862
0 0 0.184 0.816
0 0 0.274 0.726
0 0 0.274 0.726
0 0 0.274 0.726
0 0 0.274 0.726
0 0 0.274 0.726
0 0 0.274 0.726
0 0 0.05 0.95
0 0 0.27 0.73
0.068 0.226 0.356 0.35
0.006 0 0.814 0.18
0 0 0.05 0.95
0 0 0.27 0.73
0.03 0 0.466 0.504
0.02 0.006 0.242 0.732
0.142 0.008 0.372 0.478
0.03 0 0.466 0.504
0.03 0 0.466 0.504
0 0 0.486 0.514
0.03 0 0.466 0.504
0 0 0.33 0.67
0 0 0.33 0.67
0.02 0.006 0.242 0.732
0.142 0.008 0.372 0.478
0.02 0.006 0.242 0.732
0.142 0.008 0.372 0.478
0.042 0.16 0.426 0.372
0.01 0 0.962 0.028
0.01 0.006 0.746 0.238
0.012 0.002 0.642 0.344
0 0 0.702 0.298
0.006 0 0.39 0.604
0 0 0.786 0.214
0 0 0.186 0.814
0 0 0.702 0.298
0.006 0 0.39 0.604
0 0 0.702 0.298
0.006 0 0.39 0.604
0 0 0.512 0.488
0 0 0.74 0.26
0.076 0.362 0.392 0.17
0.164 0.394 0.086 0.356
0 0 0.438 0.562
0 0 0.254 0.746
0 0 0.154 0.846
0 0 0.154 0.846
0 0 0.154 0.846
0.002 0.056 0.694 0.248
0.004 0.074 0.348 0.574
0.076 0.362 0.392 0.17
0.164 0.394 0.086 0.356
0 0 0.616 0.384
0.758 0.062 0.14 0.04
0.1 0.776 0.048 0.076
0.232 0.712 0.028 0.028
0.03 0.794 0.154 0.022
0.076 0.362 0.392 0.17
0.164 0.394 0.086 0.356
0.002 0.026 0.518 0.454
0.002 0.026 0.518 0.454
0.024 0.044 0.528 0.404
0.076 0.362 0.392 0.17
0.164 0.394 0.086 0.356
0.42 0.412 0.148 0.02
0.288 0.23 0.18 0.302
0 0 0.458 0.542
0 0 0.426 0.574
0.236 0.248 0.36 0.156
0 0 0.458 0.542
0 0 0.426 0.574
0.42 0.412 0.148 0.02
0.288 0.23 0.18 0.302
0 0 0.438 0.562
0 0 0.254 0.746
0 0.012 0.274 0.714
0 0 0.44 0.56
0 0 0.258 0.742
